City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hovd,48.0056,91.6419,-21.27,68,99,1.53,MN,1708359036
83,at taj,24.2049,23.2857,19.59,22,26,4.62,LY,1708359038
84,west island,-12.1568,96.8225,27.99,78,72,2.06,CC,1708359038
85,upington,-28.4478,21.2561,39.43,11,0,1.29,ZA,1708359038
86,puerto aysen,-45.4,-72.7,25.24,58,15,1.51,CL,1708359038
87,tazacorte,28.629,-17.9293,22.54,73,20,4.12,ES,1708359038
88,klyuchi,52.2667,79.1667,-26.72,98,6,1.96,RU,1708359039
89,belmonte,-15.8631,-38.8828,28.32,81,85,5.23,BR,1708359039
90,port mathurin,-19.6833,63.4167,26.61,72,67,10.65,MU,1708359040
91,tolanaro,-25.0319,46.9987,23.85,76,3,5.34,MG,1708359040
92,mar del plata,-38.0023,-57.5575,25.85,80,75,4.12,AR,1708358763
93,oranjemund,-28.55,16.4333,20.66,77,5,3.87,,1708359040
94,gantang,26.92,119.6333,19.38,90,26,1.16,CN,1708359041
95,portland,45.5234,-122.6762,8.27,79,100,4.02,US,1708358938
96,pisco,-13.7,-76.2167,26.03,78,0,4.12,PE,1708359042
97,san javier,37.8063,-0.8374,22.27,70,0,2.24,ES,1708359042
98,rio gallegos,-51.6226,-69.2181,16.03,59,100,7.72,AR,1708359042
99,jizzax,40.1158,67.8422,0.28,68,97,3.48,UZ,1708359046
100,kalmunai,7.4167,81.8167,26.08,82,3,3.79,LK,1708359046
101,sitka,57.0531,-135.33,5.94,87,100,0.0,US,1708359046
102,novaya igirma,57.1334,103.9112,-31.76,100,86,2.02,RU,1708359046
103,chishmy,54.5765,55.3764,-9.87,86,100,5.6,RU,1708359046
104,codrington,-38.2667,141.9667,14.26,95,100,2.42,AU,1708359046
105,banda aceh,5.5577,95.3222,26.97,83,97,2.82,ID,1708359047
106,atafu village,-8.5421,-172.5159,28.33,77,100,2.68,TK,1708359048
107,klungkung,-8.5333,115.4,27.38,92,55,0.83,ID,1708359048
108,beau vallon,-20.4189,57.6953,25.67,78,63,8.33,MU,1708359048
109,broken hill,-31.95,141.4333,24.51,19,56,4.72,AU,1708359049
110,hithadhoo,-0.6,73.0833,28.58,81,44,5.66,MV,1708359049
